ID	Name	Magnitude	Right Ascension	Declination
0	Polaris	1.98	37.95454167	89.26411111
1	Sirius	-1.46	101.2869625	-15.28389167
2	Canopus	-0.72	95.98799583	-51.30430556
3	Rigil Kentaurus	-0.27	219.8995	-59.16461111
4	Arcturus	-0.04	213.9153208	19.18241944
5	Vega	0.03	279.2347167	38.78365833
6	Capella	0.08	79.17230417	45.99802778
7	Rigel	0.12	78.63861667	-7.798338889
8	Procyon	0.38	114.8254708	5.225016667
9	Achernar	0.46	24.42855	-56.76328333
10	Betelgeuse	0.5	88.79320833	7.407041667
11	Hadar	0.61	210.955875	-60.37303611
12	Acrux	0.76	186.6495634	-63.09909286
13	Altair	0.77	297.6958417	8.868341667
14	Aldebaran	0.85	68.98015417	16.509275
15	Antares	0.96	247.3518292	-25.56801389
16	Spica	0.98	201.2982792	-10.83869167
17	Pollux	1.14	116.3289417	28.02618333
18	Fomalhaut	1.16	344.4127292	-28.37775
19	Mimosa	1.25	191.9302865	-58.311228
20	Deneb	1.25	310.3579875	45.28036389
21	Regulus	1.35	152.0929792	11.96719167
22	Adhara	1.5	104.65645	-27.02791667
23	Castor	1.57	113.65	31.88833333
24	Gacrux	1.63	187.7914984	-56.88678656
25	Shaula	1.63	263.4021667	-36.89617778
